_id,cate,clink,ilink,info,loc,name,point,rand
ObjectId(5d248a2a7a10db99e1b99403),喜剧/动画/奇幻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2557284230.jpg,https://movie.douban.com/subject/6850547/,《玩具总动员4》讲述：胡迪总是对自己身处这个世界的使命感到自信满满，他的首要任务永远都是要先照顾好自己的“孩子”——不管是老主人安迪还是新主人邦妮，但是当邦妮把她自制的、不情愿当玩具的Forky放进来后，胡迪将和他的新老朋友一起踏上一场公路冒险之旅，也让他明白作为一个玩具他所面对的“世界”会有多大。    胡迪、巴斯光年、翠丝、蛋头先生、蛋头太太、弹簧狗、猪排博士、抱抱龙、太空外星人等集体回归，第四部还有新玩具——Forky首度登场！Forky由TonyHale配音，是邦妮用一次性叉勺改造的手工“玩具”。玩具存在的目的是为了给孩子带来欢乐，但是手工改造的玩具呢？Forky坚信自己不是玩具，就是个叉勺，所以要努力逃离玩具的世界！,美国,玩具总动员4,8.8,0
ObjectId(5d248a2a7a10db99e1b99405),剧情/动画/奇幻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,https://movie.douban.com/subject/1291561/,千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。    千寻仓皇逃出，一个叫小白的人救了他，喂了她阻止身体消失的药，并且告诉她怎样去找锅炉爷爷以及汤婆婆，而且必须获得一份工作才能不被魔法变成别的东西。    千寻在小白的帮助下幸运地获得了一份在浴池打杂的工作。渐渐她不再被那些怪模怪样的人吓倒，并从小玲那儿知道了小白是凶恶的汤婆婆的弟子。    一次，千寻发现小白被一群白色飞舞的纸人打伤，为了救受伤的小白，她用河神送给她的药丸驱出了小白身体内的封印以及守封印的小妖精，但小白还是没有醒过来。    为了救小白，千寻又踏上了她的冒险之旅。,日本,千与千寻,9.3,1
ObjectId(5d248a2a7a10db99e1b99407),剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,https://movie.douban.com/subject/30170448/,法庭上，十二岁的男孩赞恩向法官状告他的亲生父母，原因是，他们给了他生命。是什么样的经历让一个孩子做出如此不可思议的举动？故事中，赞恩的父母在无力抚养和教育的状况下依然不停生育，作为家中的长子赞恩，弱小的肩膀承担了无数生活的重压。当妹妹被强行卖给商贩为妻时，赞恩愤怒离家，之后遇到一对没有合法身份的母子，相互扶持勉强生活。然而生活并没有眷顾赞恩，重重磨难迫使他做出了令人震惊的举动……,黎巴嫩/法国/美国,何以为家,9.0,2
ObjectId(5d248a2a7a10db99e1b99409),动作/科幻/冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2332503406.jpg,https://movie.douban.com/subject/25820460/,美国队长史蒂夫·罗杰斯（克里斯·埃文斯ChrisEvans饰）带领着全新组建的复仇者联盟，继续维护世界和平。然而，一次执行任务时联盟成员不小心造成大量平民伤亡，从而激发政治压力，政府决定通过一套监管系统来管理和领导复仇者联盟。联盟内部因此分裂为两派：一方由史蒂夫·罗杰斯领导，他主张维护成员自由，在免受政府干扰的情况下保护世界；另一方则追随托尼·斯塔克（小罗伯特·唐尼RobertDowneyJr.饰），他令人意外地决定支持政府的监管和责任制体系。神秘莫测的巴基（塞巴斯蒂安·斯坦SebastianStan饰）似乎成为内战的关键人物……,美国,美国队长3,7.8,3
ObjectId(5d248a2a7a10db99e1b9940b),动作/奇幻/冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2388501883.jpg,https://movie.douban.com/subject/3025375/,斯特兰奇博士（本尼迪克特·康伯巴奇BenedictCumberbatch饰）是一名外科手术医生，他拥有着高超的智商和精湛的技艺，是医院乃至整个医学界的传奇人物。某一日，斯特兰奇博士遭遇了一场可怕的车祸，尽管保住了双手，但这双手伤痕累累不住颤抖，这也就意味着，他再也不能拿起手术刀，站在无影灯下了。    斯特兰奇博士的生活就此失去了意义陷入了绝望之中，他决定远赴尼泊尔，寻找传说中能够治愈他双手的神秘力量。在尼泊尔，风尘仆仆的斯特兰奇博士拜入了神秘的古一法师（蒂尔达·斯文顿TildaSwinton饰）门下，成为了其弟子，与此同时，古一法师曾经的弟子卡西利亚斯（麦斯·米科尔森饰）亦在虎视眈眈，企图完成他获得永生的大业。,美国,奇异博士,7.6,4
ObjectId(5d248a2a7a10db99e1b9940d),动作/科幻/冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2497756471.jpg,https://movie.douban.com/subject/24753477/,彼得帕克（汤姆·赫兰德TomHolland饰）在内战后受到了钢铁侠托尼斯塔克（小罗伯特·唐尼RobertDowneyJr.饰）的赏识，表面上，彼得进入托尼的公司成为了一名实习生，实际上，他和复仇者联盟的成员们一起接受了各种各样的训练。托尼虽然欣赏彼得的勇敢和正直，却并不认为他目前已经拥有加入复联的实力，他派出了特工哈皮（乔恩·费儒JonFavreau饰）暗中观察，这让十分想证明自己的彼得感到万分焦躁。    在对付两个银行劫匪的过程中，彼得发现劫匪们使用的是一种前所未见的新型武器，他孤身一人深入敌后顺藤摸瓜找到了幕后主使秃鹰（迈克尔·基顿MichaelKeaton饰），让他彼得没有想到的是，秃鹰竟然是他爱慕的女生利兹（劳拉·海瑞尔LauraHarrier饰）的父亲。,美国,蜘蛛侠：英雄归来,7.4,5
ObjectId(5d248a2a7a10db99e1b9940f),动作/科幻/奇幻/冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2237747953.jpg,https://movie.douban.com/subject/10741834/,"    托尼·斯塔克（小罗伯特·唐尼RobertDowneyJr.饰）试图重启一个已经废弃的维和项目，不料该项目却成为危机导火索。世上最强大的超级英雄——钢铁侠、美国队长（克里斯·埃文斯ChrisEvans饰）、雷神（克里斯·海姆斯沃斯ChrisHemsworth饰）、绿巨人（马克·鲁弗洛MarkRuffalo饰）、黑寡妇（斯嘉丽·约翰逊ScarlettJohansson饰）和鹰眼（杰瑞米·雷纳JeremyRenner饰），不得不接受终极考验，拯救危在旦夕的地球。神秘反派奥创（詹姆斯·斯派德JamesSpader配音）逐渐崛起，超级英雄们必须重新集结，竭力阻止奥创实施人类灭绝计划。战斗中，复仇者联盟成员们还遇到了两个新人物——旺达·马克西莫夫（伊丽莎白·奥尔森ElizabethOlsen饰）和皮特罗·马克西莫...",美国,复仇者联盟2：奥创纪元,7.4,6
ObjectId(5d248a2a7a10db99e1b99411),动作/奇幻/冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2159068249.jpg,https://movie.douban.com/subject/1866471/,"    勇敢善战雷神托尔（克里斯•海姆斯沃斯ChrisHemsworth饰），作为永恒境界阿斯加德的王位继承人，受人敬仰。然而由于一次鲁莽的行动，险些挑起一场古老的战争，因此被父亲天神奥丁（安东尼•霍普金斯AnthonyHopkins饰）流放到人间。托尔在人间认识了美丽的女科学家珍•福斯特（娜塔莉•波特曼NataliePortman饰）和她的工作伙伴，在他们的帮助下，托尔找到了和自己一起被贬的雷神之锤，但此时的雷神之锤并不属于他。此间，托尔的弟弟洛基为了成为阿斯加德的王，居然联合寒冰巨人，企图在永恒境界掀起一场腥风血雨。为了维持永恒之界的法度，托尔的四位朋友也来到人间，他们决定带托尔返回永恒之境。此时，为了阻止雷神重归永恒境界，洛基派出巨人杀死托尔。丧失能力和法战的托尔为了保护无辜的人类与自己的朋友，献出了自己的生命。托尔的死打破了天神的...",美国,雷神,7.0,7
ObjectId(5d248a2a7a10db99e1b99413),动作/科幻/奇幻/冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2552058346.jpg,https://movie.douban.com/subject/26100958/,一声响指，宇宙间半数生命灰飞烟灭。几近绝望的复仇者们在惊奇队长（布丽·拉尔森BrieLarson饰）的帮助下找到灭霸（乔什·布洛林JoshBrolin饰）归隐之处，却得知六颗无限宝石均被销毁，希望彻底破灭。如是过了五年，迷失在量子领域的蚁人（保罗·路德PaulRudd饰）意外回到现实世界，他的出现为幸存的复仇者们点燃了希望。与美国队长（克里斯·埃文斯ChrisEvans饰）冰释前嫌的托尼（小罗伯特·唐尼RobertDowneyJr.饰）找到了穿越时空的方法，星散各地的超级英雄再度集结，他们分别穿越不同的时代去搜集无限宝石。而在这一过程中，平行宇宙的灭霸察觉了他们的计划。    注定要载入史册的最终决战，超级英雄们为了心中恪守的信念前仆后继……,美国,复仇者联盟4：终局之战,8.6,8
ObjectId(5d248a2a7a10db99e1b99415),动作/奇幻/冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2500451074.jpg,https://movie.douban.com/subject/25821634/,在“索科维亚战役”两年后，雷神索尔（克里斯·海姆斯沃斯ChrisHemsworth饰）识破了洛基（汤姆·希德勒斯顿TomHiddleston饰）的伪装，辗转找到了被放逐到地球的奥丁（安东尼·霍普金斯AnthonyHopkins饰）。然而垂死的奥丁却告知两个儿子，“诸神的黄昏”已经开始，曾遭到奥丁封禁的死亡女神海拉（凯特·布兰切特CateBlanchett饰）即将重返阿斯加德。与海拉的初次对决中，索尔失去了雷神之锤，他和洛基也被打落至混乱不堪的萨卡星。在萨卡的决斗场上，索尔重逢失踪许久的绿巨人，也见到了曾从海拉魔爪下逃得一生的女武神。    历经千辛万苦，索尔和战友们重返阴云密布的阿斯加德，去正视这注定要到来的“诸神的黄昏”……,美国,雷神3：诸神黄昏,7.4,9
